country,iso_code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.099,0.191,0.282,0.388,0.495,0.649,0.832,1.125,1.455,1.839,2.253,2.744,3.432,4.139,4.978,5.985,7.076,8.358,9.581,10.522,12.193,14.086,15.617,17.252,19.165,21.287,23.267,25.652,27.805,30.038,31.794,33.772,35.867,38.387,41.209,44.71,47.844,50.957,53.814,56.579,58.603,60.518,62,63.487,64.941,66.358,67.728,69.032,70.311,71.402,72.449,73.519,74.86,76.419,77.656,79.546,81.705,84.505,88.76,95.152,103.516,115.355,125.39,134.64,143.811,153.602,162.669,172.537,183.355,194.437,206.325,218.608,230.756
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.015,0.033,0.161,0.458,0.806,1.238,1.931,2.557,3.301,3.763,3.917,4.038,4.521,5.448,6.152,7.167,7.463,7.866,8.24,8.654,9.156,9.819,10.658,12.163,13.365,14.808,16.83,19.109,21.571,23.651,25.666,27.838,30.388,33.065,36.134,39.376,43.115,47.463,53.101,58.388,62.729,67.32,72.267,77.985,84.476,92.06,97.231,104.57,111.878,119.509,127.335,135.216,143.274,150.721,158.051,167.037,172.557,176.848,179.365,181.703,183.627,185.716,187.733,189.276,191.031,194.017,197.042,200.263,204.011,208.314,212.491,216.753,220.663,224.612,229.009,233.416,238.2,243.514,248.364,253.652,259.652,264.364,268.996,274.289,279.184,284.011,289.03,293.933,298.888
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.029,0.048,0.07,0.095,0.121,0.136,0.165,0.198,0.238,0.297,0.37,0.45,0.534,0.633,0.746,0.867,1.006,1.137,1.188,1.258,1.291,1.452,1.69,2.001,2.5,2.968,3.466,4.081,4.843,5.586,6.388,7.296,11.08,15.211,19.1,23.099,27.252,31.858,36.853,42.39,47.604,53.262,59.413,65.469,71.13,76.549,82.192,88.78,97.201,105.633,114.683,125.946,141.005,159.655,187.977,226.255,258.131,290.132,329.264,371.108,433.564,479.109,545.526,591.868,631.041,683.545,754.491,827.1,903.181,987.064,1070.772,1150.58,1227.318,1306.125,1386.008,1467.952,1556.561,1653.338,1753.377,1841.746,1948.283,2039.732,2125.131,2211.97,2302.662,2397.243,2488.957,2599.949,2705.846,2815.735,2926.823,3045.679,3164.032,3289.127,3424.801,3565.587,3716.87,3876.958,4035.439,4200.529,4371.805,4550.382,4720.275,4900.5,5076.845
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.813,1.22,1.63,2.037,2.462,2.917,3.382,3.873,4.386,4.91,5.434,5.965,6.5,7.061,7.636,8.182,8.72,9.259,9.776,10.292,10.783,11.27,11.747,12.208,12.674,13.143,13.608,14.103,14.586,14.96,15.323,15.692
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.436,0.747,1.022,1.37,1.784,2.285,2.904,3.497,4.116,4.664,5.118,6.297,7.447,8.67,9.856,11.409,12.4,14.07,16.853,20.431,23.836,28.337,33.211,38.077,42.486,45.766,49.293,54.693,60.182,65.517,70.783,75.419,80.519,85.505,90.181,94.815,100.601,105.65,110.573,115.663,120.727,125.891,131.64,142.993,155.61,170.859,186.743,203.256,220.517,236.513,252.421,268.501,285.985,303.001,318.388,335.533,353.121,371.871,392.539,415.523,438.92,464.861,490.57,515.338,541.368,565.361,587.978,609.413,628.635,645.399,662.905,678.975
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.095,0.143,0.198,0.253,0.311,0.374,0.436,0.502,0.568,0.645,0.729,0.813,0.901,1.004,1.114,1.235,1.359,1.484,1.608,1.74,1.865,1.986,2.103,2.224,2.363,2.503,2.631,2.763,2.909,3.052,3.19,3.329
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.018,0.029,0.044,0.059,0.073,0.088,0.092,0.095,0.099,0.103,0.106,0.11,0.114,0.117,0.121,0.128,0.136,0.143,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.051,0.081,0.117,0.165,0.267,0.352,0.443,0.594,0.942,1.506,2.495,3.752,4.214,4.639,5.012,5.342,5.771,6.478,6.881,7.346,7.837,8.244,8.387,8.493,8.786,8.871,9.017,9.266,9.515,9.79,10.076,10.362,10.604,10.853,11.102,11.358,11.626,11.897,12.186,12.498,12.82,13.165,13.52,13.89,14.297,14.726,15.176,15.656,16.173,16.708,17.246,17.803,18.353,18.899,19.456,20.013,20.581,21.163,21.76,22.365,22.981,23.622,24.241,24.838,25.44
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,1.975,3.73,5.1,6.038,7.423,8.977,10.97,13.234,15.539,17.62,19.969,22.889,24.959,27.451,30.265,33.126,36.922,40.905,47.159,53.414,61.031,66.967,75.874,85.818,95.297,105.443,114.115,121.055,126.042,128.273,130.794,134.52,140.412,145.952,153.25,161.696,172.655,183.893,195.152,208.526,221.264,234.395,247.162,260.006,273.106,286.339,300.578,314.576,329.672,346.383,362.73,380.107,395.972,409.912,423.392,437.468,451.42,465.086,478.789,493.304,510.695,526.06,555.981,590.944,627.039,662.174,698.924,738.484,782.781,830.389,874.581,923.53,972.294,1023.421,1077.061,1127.094,1182.764,1241.569,1304.641,1370.118,1439.127,1516.375,1599.024,1687.871,1777.937,1871.913,1967.394,2062.239,2161.938,2262.644,2365.2,2475.816,2584.472,2686.44,2789.792,2894.934,3001.385,3101.917,3206.067,3320.944,3442.349,3559.369,3671.448,3788.954,3910.184,4027.962,4146.432,4271.671,4402.806,4539.33,4678.335,4826.009,4968.773,5103.196,5227.65,5361.644,5518.356,5679.546,5853.756,6027.238,6214.481,6392.592,6578.447,6768.123,6959.415,7148.953,7337.349,7529.093,7719.013,7905.912,8086.512,8265.023,8431.902,8621.646,8814.511
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.002,0.003,0.005,0.007,0.008,0.01,0.012,0.014,0.02,0.027,0.033,0.041,0.05,0.061,0.073,0.084,0.098,0.113,0.132,0.152,0.178,0.204,0.235,0.268,0.302,0.341,0.381,0.424,0.468,0.515,0.564,0.617,0.677,0.743,0.813,0.895,0.978,1.074,1.171,1.284,1.41,1.557,1.723,1.893,2.058,2.219,2.398,2.558,2.74,2.945,3.15,3.367,3.58,3.801,4.051,4.322,4.568,4.792,5.032,5.253,5.341,5.416,5.485,5.559,5.65,5.75,5.869,5.987,6.157,6.37,6.602,6.853,7.196,7.608,8.071,8.59,9.217,9.925,10.736,11.566,12.442,13.329,14.393,15.327,15.84,16.375,17.15,17.968,18.885,19.987,21.158,22.488,23.969,25.571,27.287,29.102,31.082,33.328,35.792,38.489,41.37,44.398,47.552,50.808,54.231,57.906,61.819,65.972,70.359,74.952,79.679,84.606,89.787,95.295,101.097,107.152,113.448,120.072,126.954,134.073,141.441,148.87,156.59,164.175,171.905,179.751,187.671,196.205,204.269,212.459,221.749,231.212,240.159,247.467,253.191,255.701,258.386,261.748,264.249,267.501,270.92,273.961,277.452,280.985,284.061,287.517,291.208,295.584,299.986,305.086,310.661,315.024,319.277,324.246,329.994,335.529,341.133,346.603,351.806,357.346,363.172,369.456,376.255,383.319,389.727
