country,iso_code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.084,0.092,0.092,0.106,0.106,0.154,0.183,0.293,0.33,0.385,0.414,0.491,0.689,0.707,0.839,1.007,1.091,1.282,1.223,0.941,1.67,1.894,1.53,1.635,1.913,2.121,1.981,2.384,2.153,2.233,1.756,1.978,2.095,2.52,2.822,3.501,3.134,3.114,2.857,2.765,2.024,1.914,1.482,1.487,1.454,1.417,1.37,1.304,1.279,1.092,1.047,1.069,1.341,1.56,1.237,1.89,2.159,2.8,4.254,6.392,8.365,11.838,10.035,9.251,9.17,9.791,9.068,9.868,10.818,11.082,11.888,12.283,12.148
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.018,0.128,0.297,0.348,0.432,0.692,0.626,0.744,0.462,0.154,0.121,0.484,0.927,0.703,1.015,0.297,0.403,0.374,0.414,0.502,0.663,0.839,1.506,1.201,1.443,2.022,2.279,2.462,2.081,2.015,2.172,2.55,2.677,3.069,3.241,3.739,4.348,5.638,5.286,4.342,4.591,4.947,5.717,6.491,7.584,5.171,7.34,7.308,7.631,7.826,7.882,8.058,7.447,7.329,8.986,5.521,4.29,2.517,2.338,1.924,2.089,2.018,1.543,1.755,2.986,3.025,3.221,3.748,4.303,4.177,4.261,3.911,3.949,4.397,4.407,4.784,5.315,4.85,5.287,6,4.712,4.632,5.293,4.895,4.827,5.019,4.904,4.955
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0.018,0.018,0.022,0.026,0.026,0.015,0.029,0.033,0.04,0.059,0.073,0.08,0.084,0.099,0.113,0.121,0.139,0.132,0.051,0.069,0.033,0.161,0.238,0.311,0.498,0.469,0.498,0.615,0.762,0.743,0.802,0.908,3.784,4.131,3.889,3.999,4.152,4.607,4.995,5.537,5.214,5.657,6.151,6.056,5.661,5.419,5.643,6.589,8.421,8.432,9.05,11.263,15.059,18.65,28.323,38.277,31.877,32.001,39.131,41.845,62.455,45.546,66.416,46.342,39.173,52.504,70.947,72.609,76.08,83.883,83.708,79.808,76.738,78.807,79.883,81.944,88.608,96.777,100.039,88.369,106.537,91.449,85.399,86.839,90.692,94.581,91.714,110.993,105.896,109.889,111.087,118.856,118.353,125.095,135.674,140.786,151.283,160.087,158.482,165.09,171.276,178.577,169.893,180.225,176.345
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.407,0.407,0.41,0.407,0.425,0.454,0.465,0.491,0.513,0.524,0.524,0.531,0.535,0.561,0.575,0.546,0.539,0.539,0.517,0.517,0.491,0.487,0.476,0.462,0.465,0.469,0.465,0.495,0.484,0.374,0.363,0.369
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.249,0.311,0.275,0.348,0.414,0.502,0.619,0.593,0.619,0.549,0.454,1.179,1.15,1.223,1.186,1.552,0.992,1.67,2.783,3.578,3.405,4.501,4.874,4.866,4.409,3.28,3.528,5.4,5.489,5.334,5.267,4.635,5.101,4.986,4.676,4.634,5.786,5.049,4.923,5.09,5.064,5.164,5.748,11.353,12.617,15.249,15.884,16.513,17.261,15.995,15.908,16.08,17.484,17.016,15.387,17.145,17.588,18.75,20.668,22.983,23.397,25.941,25.71,24.768,26.03,23.993,22.617,21.434,19.222,16.765,17.506,16.07
Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0.048,0.048,0.055,0.055,0.059,0.062,0.062,0.066,0.066,0.077,0.084,0.084,0.088,0.103,0.11,0.121,0.125,0.125,0.125,0.132,0.125,0.121,0.117,0.121,0.139,0.139,0.128,0.132,0.147,0.143,0.138,0.139
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0.007,0.011,0.015,0.015,0.015,0.015,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.007,0.007,0.007,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.029,0.029,0.037,0.048,0.103,0.084,0.092,0.15,0.348,0.564,0.989,1.257,0.462,0.425,0.374,0.33,0.429,0.707,0.403,0.465,0.491,0.407,0.143,0.106,0.293,0.084,0.147,0.249,0.249,0.275,0.286,0.286,0.242,0.249,0.249,0.256,0.267,0.271,0.289,0.311,0.322,0.344,0.355,0.37,0.407,0.429,0.451,0.48,0.517,0.535,0.539,0.557,0.55,0.546,0.557,0.557,0.568,0.583,0.597,0.605,0.616,0.641,0.619,0.597,0.602
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,0.89,1.755,1.37,0.938,1.385,1.554,1.993,2.264,2.305,2.081,2.349,2.92,2.07,2.492,2.814,2.862,3.796,3.983,6.254,6.254,7.617,5.936,8.907,9.944,9.479,10.146,8.673,6.94,4.987,2.231,2.521,3.726,5.892,5.54,7.299,8.446,10.959,11.237,11.259,13.374,12.739,13.13,12.767,12.844,13.1,13.232,14.24,13.997,15.096,16.711,16.347,17.377,15.864,13.94,13.479,14.077,13.952,13.666,13.702,14.515,17.392,15.365,29.921,34.963,36.095,35.135,36.75,39.56,44.297,47.608,44.193,48.949,48.764,51.127,53.64,50.033,55.67,58.805,63.073,65.476,69.009,77.249,82.648,88.847,90.067,93.976,95.48,94.845,99.699,100.706,102.556,110.616,108.656,101.969,103.351,105.142,106.452,100.531,104.15,114.877,121.405,117.02,112.079,117.506,121.231,117.777,118.469,125.24,131.135,136.524,139.005,147.674,142.765,134.422,124.455,133.994,156.712,161.189,174.21,173.482,187.243,178.111,185.854,189.676,191.292,189.538,188.397,191.744,189.92,186.899,180.599,178.512,166.88,189.744,192.864
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.006,0.007,0.006,0.008,0.009,0.012,0.012,0.011,0.013,0.016,0.019,0.02,0.026,0.026,0.031,0.033,0.034,0.039,0.04,0.043,0.044,0.047,0.049,0.053,0.06,0.066,0.07,0.082,0.083,0.096,0.097,0.113,0.126,0.147,0.166,0.17,0.165,0.161,0.179,0.16,0.182,0.204,0.206,0.217,0.213,0.221,0.25,0.272,0.245,0.225,0.24,0.221,0.088,0.075,0.069,0.074,0.091,0.1,0.119,0.118,0.171,0.212,0.233,0.251,0.343,0.412,0.463,0.519,0.627,0.708,0.811,0.83,0.876,0.887,1.064,0.934,0.513,0.535,0.776,0.818,0.917,1.102,1.171,1.33,1.48,1.603,1.716,1.815,1.98,2.245,2.464,2.697,2.881,3.029,3.154,3.256,3.423,3.675,3.913,4.153,4.387,4.593,4.727,4.927,5.181,5.508,5.802,6.056,6.295,6.625,6.882,7.119,7.368,7.429,7.72,7.586,7.73,7.846,7.92,8.534,8.064,8.19,9.29,9.462,8.948,7.308,5.724,2.51,2.685,3.363,2.5,3.253,3.419,3.04,3.491,3.533,3.077,3.456,3.691,4.376,4.402,5.1,5.575,4.363,4.253,4.969,5.748,5.535,5.604,5.469,5.203,5.54,5.826,6.284,6.799,7.064,6.408
