,Unnamed: 0,iso_code,1750,1760,1770,1780,1790,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,0,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.935,,,,,,,,,,4.949,,,,,,,,,,10.551,16.046,8.927,9.964,19.451,15.538,19.413,12.819,10.868,13.557,11.323,11.563,12.503,11.812,11.346,10.074,9.34,11.46,10.666,13.992,15.71,13.739,13.312,14.641,13.124,9.398,19.916,10.356,8.781,9.172,9.399,8.903,9.876,5.031,12.465,14.521,2.78,6.934,9.508,10.036,7.413,7.827,7.671,8.961,8.825,9.175,9.133,9.264,9.555,9.321,26.683,26.54,26.543,27.624,27.963,28.771,28.394,29.146,27.104,26.477,24.973,24.667,13.203,8.368,8.417,8.609,8.419,8.443,8.228,8.363,8.353,8.053,8.133,7.987288462,7.841576923,7.695865385,7.550153846,7.404442308,7.258730769,7.113019231,6.967307692,6.821596154,6.675884615,6.530173077,6.384461538,6.23875,6.093038462,5.947326923,5.801615385,5.655903846,5.510192308
1,1,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.011,0.012,0.012,0.014,0.014,0.019,0.023,0.036,0.04,0.045,0.048,0.056,0.077,0.077,0.09,0.105,0.112,0.128,0.119,0.09,0.155,0.172,0.136,0.141,0.161,0.174,0.159,0.188,0.166,0.172,0.141,0.177,0.208,0.253,0.275,0.333,0.3,0.302,0.275,0.259,0.189,0.178,0.123,0.106,0.094,0.086,0.08,0.073,0.069,0.057,0.054,0.054,0.064,0.069,0.053,0.077,0.085,0.108,0.161,0.233,0.297,0.405,0.329,0.293,0.28,0.29,0.262,0.277,0.295,0.293,0.305,0.306,0.295,0.297692308,0.300384615,0.303076923,0.305769231,0.308461538,0.311153846,0.313846154,0.316538462,0.319230769,0.321923077,0.324615385,0.327307692,0.33,0.332692308,0.335384615,0.338076923,0.340769231,0.343461538
2,2,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.055,0.067,0.058,0.072,0.084,0.1,0.121,0.114,0.117,0.102,0.083,0.214,0.205,0.216,0.207,0.268,0.17,0.285,0.469,0.593,0.551,0.707,0.741,0.715,0.627,0.451,0.47,0.695,0.682,0.64,0.61,0.518,0.55,0.518,0.469,0.448,0.541,0.457,0.43,0.43,0.414,0.409,0.441,0.843,0.907,1.06,1.068,1.075,1.088,0.976,0.939,0.918,0.965,0.906,0.791,0.85,0.841,0.864,0.918,0.984,0.964,1.03,0.983,0.913,0.925,0.823,0.749,0.685,0.594,0.502,0.507,0.452,0.449288462,0.446576923,0.443865385,0.441153846,0.438442308,0.435730769,0.433019231,0.430307692,0.427596154,0.424884615,0.422173077,0.419461538,0.41675,0.414038462,0.411326923,0.408615385,0.405903846,0.403192308
3,3,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.711,5.514,5.345,6.01,5.859,6.091,6.301,6.136,6.318,6.138,6.95,7.414,7.275,7.477,8.58,9.048,9.793,9.93,9.768,9.605,9.999,9.322,8.97,8.541,8.549,9.567,9.381,8.527,8.677,9.512,9.153,8.727,8.753,,,,,,,,,,,,,,,,,,
4,4,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.007,0.018,0.121,0.278,0.323,0.397,0.629,0.563,0.66,0.405,0.133,0.104,0.409,0.775,0.581,0.825,0.237,0.313,0.282,0.303,0.356,0.456,0.559,0.972,0.75,0.872,1.182,1.288,1.347,1.102,1.034,1.081,1.231,1.256,1.398,1.434,1.609,1.819,2.296,2.097,1.679,1.732,1.823,2.06,2.291,2.625,1.758,2.453,2.403,2.471,2.499,2.485,2.513,2.3,2.246,2.738,1.675,1.299,0.762,0.708,0.584,0.636,0.617,0.474,0.543,0.931,0.951,1.021,1.2,1.391,1.364,1.405,1.302,1.327,1.49,1.504,1.642,1.832,1.677,1.831,2.08,1.635,1.608,1.838,1.701,1.68,1.751,1.718,1.743,1.745576923,1.748153846,1.750730769,1.753307692,1.755884615,1.758461538,1.761038462,1.763615385,1.766192308,1.768769231,1.771346154,1.773923077,1.7765,1.779076923,1.781653846,1.784230769,1.786807692,1.789384615
5,5,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.589,7.334,7.097,6.935,6.661,6.752,7.081,7.192,7.53,7.811,7.925,7.723,7.497,7.236,7.285,7.205,6.804,6.889,7.08,6.993,7.221,6.956,6.86,6.673,6.444,6.484,6.463,6.301,6.592,6.334,4.808,4.592,4.617,4.705788462,4.794576923,4.883365385,4.972153846,5.060942308,5.149730769,5.238519231,5.327307692,5.416096154,5.504884615,5.593673077,5.682461538,5.77125,5.860038462,5.948826923,6.037615385,6.126403846,6.215192308
6,6,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.082,0.078,0.123,0.14,0.111,0.126,0.141,4.785,5.815,80.971,51.107,61.439,59.726,69.313,63.626,57.13,64.503,54.821,55.578,40.229,36.313,33.419,31.47,28.459,35.278,35.992,32.022,30.11,28.566,30.24,27.21,28.218,27.292,29.49,32.207,29.771,29.312,26.554,27.423,24.96,34.138,29.361,23.296,27.913,27.972,26.723,24.843,22.669,21.99,21.021,21.793,23.04,23.935,24.376,23.765,25.31,25.194,23.432,22.897,23.835,23.34,25.333,25.833,25.34696154,24.86092308,24.37488462,23.88884615,23.40280769,22.91676923,22.43073077,21.94469231,21.45865385,20.97261538,20.48657692,20.00053846,19.5145,19.02846154,18.54242308,18.05638462,17.57034615,17.08430769
7,7,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,0.282,0.538,0.407,0.27,0.386,0.418,0.52,0.571,0.563,0.492,0.537,0.645,0.442,0.513,0.559,0.547,0.699,0.707,1.069,1.029,1.208,0.909,1.32,1.43,1.325,1.382,1.151,0.898,0.629,0.274,0.302,0.434,0.668,0.611,0.782,0.878,1.107,1.102,1.072,1.236,1.144,1.147,1.089,1.071,1.071,1.063,1.124,1.086,1.151,1.252,1.204,1.257,1.127,0.972,0.922,0.945,0.919,0.883,0.869,0.903,1.061,0.92,1.758,2.015,2.04,1.948,2.001,2.115,2.328,2.459,2.244,2.444,2.396,2.472,2.552,2.342,2.564,2.666,2.815,2.877,2.986,3.291,3.466,3.668,3.659,3.756,3.752,3.665,3.792,3.77,3.778,4.01,3.877,3.581,3.573,3.579,3.568,3.319,3.387,3.68,3.831,3.638,3.434,3.549,3.611,3.461,3.435,3.584,3.705,3.812,3.836,4.029,3.851,3.586,3.285,3.501,4.053,4.126,4.413,4.351,4.649,4.378,4.522,4.568,4.56,4.471,4.399,4.433,4.349,4.242,4.066,3.989,3.705,4.191,4.238,4.252846154,4.267692308,4.282538462,4.297384615,4.312230769,4.327076923,4.341923077,4.356769231,4.371615385,4.386461538,4.401307692,4.416153846,4.431,4.445846154,4.460692308,4.475538462,4.490384615,4.505230769
8,8,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,0.001,,,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.01,0.011,0.009,0.012,0.013,0.017,0.018,0.017,0.02,0.023,0.028,0.028,0.037,0.037,0.043,0.045,0.047,0.053,0.053,0.058,0.058,0.061,0.063,0.068,0.076,0.083,0.087,0.101,0.102,0.116,0.117,0.134,0.149,0.171,0.192,0.196,0.187,0.181,0.2,0.177,0.2,0.222,0.221,0.231,0.225,0.231,0.259,0.279,0.249,0.227,0.24,0.218,0.086,0.073,0.066,0.071,0.086,0.094,0.111,0.108,0.156,0.192,0.209,0.223,0.301,0.359,0.4,0.444,0.531,0.595,0.675,0.685,0.716,0.718,0.853,0.743,0.404,0.418,0.6,0.627,0.696,0.83,0.873,0.979,1.069,1.126,1.171,1.203,1.274,1.399,1.487,1.573,1.623,1.648,1.656,1.652,1.678,1.745,1.802,1.859,1.911,1.949,1.956,1.99,2.044,2.126,2.191,2.237,2.275,2.34,2.376,2.4,2.425,2.399,2.462,2.395,2.414,2.423,2.42,2.585,2.424,2.444,2.759,2.744,2.516,2.02,1.601,0.726,0.796,1.012,0.758,0.994,1.055,0.948,1.102,1.128,0.991,1.12,1.204,1.436,1.454,1.698,1.869,1.472,1.443,1.696,1.972,1.908,1.939,1.9,1.816,1.943,2.054,2.228,2.423,2.531,2.305,2.310019231,2.315038462,2.320057692,2.325076923,2.330096154,2.335115385,2.340134615,2.345153846,2.350173077,2.355192308,2.360211538,2.365230769,2.37025,2.375269231,2.380288462,2.385307692,2.390326923,2.395346154
