,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,"Afghanistan, Islamic Rep. of",AFG,-0.126,-0.173,0.844,-0.751,-0.22,0.239,-0.348,-0.398,-0.513,0.843,0.642,-1.095,0.264,-0.466,-0.442,-0.291,0.544,0.12,0.38,0.655,0.558,-0.286,0.24,0.252,0.397,-0.015,0.493,1.035,0.015,0.925,-0.051,-0.212,0.254,0.546,0.457,-0.093,0.46,0.664,1.271,1.064,1.377,1.457,0.71,1.482,0.513,1.838,0.794,0.808,0.948,1.664,1.455,0.271,1.345,0.521,1.204,1.612,1.642,1.624,0.991,0.587,1.475,2.154,2.214,2.274,2.334,2.394,2.454,2.5140000000000002,2.5740000000000003,2.6340000000000003,2.6940000000000004,2.7540000000000004,2.8140000000000005,2.8740000000000006,2.9340000000000006,2.9940000000000007,3.0540000000000007,3.1140000000000008,3.174000000000001,3.234000000000001
1,Albania,ALB,0.635,0.342,0.086,-0.169,-0.39,0.553,-0.082,0.062,-0.036,-0.137,-0.205,-0.081,-0.294,-0.128,-0.203,-0.677,0.53,-0.825,0.191,-0.422,-0.346,0.207,-0.088,-0.238,-0.072,0.6,-0.078,0.397,-0.041,0.809,-0.28,0.106,0.113,1.36,-0.137,0.006,0.111,0.821,0.724,1.084,1.551,0.519,1.026,0.472,0.217,0.39,1.389,1.043,0.977,1.261,1.125,1.546,1.394,1.285,1.667,1.558,1.196,2.103,1.751,1.567,1.589,1.585,1.645,1.705,1.7650000000000001,1.8250000000000002,1.8850000000000002,1.9450000000000003,2.0050000000000003,2.0650000000000004,2.1250000000000004,2.1850000000000005,2.2450000000000006,2.3050000000000006,2.3650000000000007,2.4250000000000007,2.4850000000000008,2.545000000000001,2.605000000000001,2.665000000000001
2,Algeria,DZA,0.155,0.12,0.05,0.254,-0.111,0.405,-0.024,-0.065,0.247,0.08,-0.412,-0.36,-0.023,-0.506,-0.569,-0.799,0.55,0.06,0.706,0.266,0.249,0.421,0.617,0.054,0.552,0.347,1.05,1.402,0.453,1.332,0.102,-0.232,0.645,0.83,0.687,0.923,1.113,1.156,1.502,0.862,1.895,1.291,1.619,1.016,1.289,1.422,1.249,1.205,0.958,2.275,1.403,1.166,1.221,1.713,1.153,1.787,1.533,1.231,1.107,1.905,2.36,1.776,1.836,1.8960000000000001,1.9560000000000002,2.016,2.076,2.136,2.196,2.2560000000000002,2.3160000000000003,2.3760000000000003,2.4360000000000004,2.4960000000000004,2.5560000000000005,2.6160000000000005,2.6760000000000006,2.7360000000000007,2.7960000000000007,2.8560000000000008
3,American Samoa,ASM,0.121,0.0,0.211,-0.089,-0.595,0.129,-0.387,-0.185,0.145,-0.034,-0.42,-0.056,0.33,-0.3,-0.11,-0.169,0.157,0.093,0.342,0.344,0.165,0.288,0.309,0.257,0.235,0.375,0.333,0.51,0.167,0.52,0.677,0.335,-0.092,0.141,0.732,0.787,,,0.24,0.604,0.882,1.13,0.712,0.244,0.878,0.48,0.928,0.498,,1.131,0.681,0.72,1.012,0.84,0.679,1.209,1.105,0.859,1.209,1.101,0.938,0.925,0.9850000000000001,1.0450000000000002,1.1050000000000002,1.1650000000000003,1.2250000000000003,1.2850000000000004,1.3450000000000004,1.4050000000000005,1.4650000000000005,1.5250000000000006,1.5850000000000006,1.6450000000000007,1.7050000000000007,1.7650000000000008,1.8250000000000008,1.885000000000001,1.945000000000001,2.005000000000001
4,"Andorra, Principality of",AND,0.756,0.12,-0.744,0.315,-0.489,0.414,0.636,0.005,-0.158,0.106,-0.333,-0.479,-0.003,-0.383,0.223,-0.062,-0.109,-0.179,0.034,-0.215,0.145,1.02,0.82,-0.199,0.012,0.35,0.371,0.852,1.147,1.712,0.192,0.349,0.146,1.478,1.267,0.563,1.761,0.999,1.037,1.036,1.486,0.843,1.966,0.944,0.865,1.495,1.018,0.932,1.4,0.459,1.666,1.252,0.815,1.917,1.631,1.918,1.854,1.835,1.884,2.48,1.45,3.155,3.215,3.275,3.335,3.395,3.455,3.515,3.575,3.6350000000000002,3.6950000000000003,3.7550000000000003,3.8150000000000004,3.8750000000000004,3.9350000000000005,3.9950000000000006,4.055000000000001,4.115,4.175,4.234999999999999
5,Angola,AGO,0.06,-0.132,-0.171,-0.21,-0.173,0.198,-0.086,-0.202,0.173,0.246,-0.075,-0.012,0.45,-0.201,-0.075,-0.339,0.221,0.07,0.324,0.31,-0.064,0.137,0.479,0.642,0.696,0.173,0.711,0.581,0.001,0.693,0.306,0.456,0.248,0.322,0.757,0.383,0.235,1.129,0.392,0.205,0.29,0.717,0.912,0.348,1.085,0.455,0.777,0.42,0.636,1.167,0.844,0.558,1.005,0.792,1.326,1.692,0.943,1.306,1.785,1.108,1.401,1.136,1.196,1.256,1.316,1.3760000000000001,1.4360000000000002,1.4960000000000002,1.5560000000000003,1.6160000000000003,1.6760000000000004,1.7360000000000004,1.7960000000000005,1.8560000000000005,1.9160000000000006,1.9760000000000006,2.0360000000000005,2.0960000000000005,2.1560000000000006,2.2160000000000006
6,Anguilla,AIA,0.058,-0.034,0.242,0.051,-0.317,0.126,-0.136,-0.255,0.309,0.209,-0.185,-0.073,0.31,-0.229,-0.254,-0.284,0.287,0.36,0.321,0.726,0.748,0.41,0.701,0.11,0.111,0.186,0.803,0.561,0.027,0.477,0.575,0.512,0.635,0.607,0.775,0.52,0.734,1.248,0.66,0.499,,0.699,0.977,0.609,1.007,0.75,0.887,0.3,0.521,1.294,0.581,0.684,0.702,0.708,1.002,1.174,0.925,0.788,0.879,1.179,0.879,0.787,0.847,0.907,0.9670000000000001,1.0270000000000001,1.0870000000000002,1.1470000000000002,1.2070000000000003,1.2670000000000003,1.3270000000000004,1.3870000000000005,1.4470000000000005,1.5070000000000006,1.5670000000000006,1.6270000000000007,1.6870000000000007,1.7470000000000008,1.8070000000000008,1.8670000000000009
7,Antigua and Barbuda,ATG,0.065,-0.08,0.183,0.057,-0.441,0.158,-0.136,-0.255,0.309,0.209,-0.185,-0.073,0.31,-0.229,-0.254,-0.284,0.287,0.36,0.321,0.726,0.748,0.41,0.701,0.11,0.111,0.186,0.803,0.561,0.027,0.477,0.575,0.512,0.635,0.607,0.775,0.52,0.734,1.248,0.66,0.499,,0.699,0.977,0.609,1.007,0.75,0.887,0.3,0.521,1.294,0.581,0.684,0.702,0.708,1.002,1.174,0.925,0.788,0.879,1.179,0.879,0.787,0.847,0.907,0.9670000000000001,1.0270000000000001,1.0870000000000002,1.1470000000000002,1.2070000000000003,1.2670000000000003,1.3270000000000004,1.3870000000000005,1.4470000000000005,1.5070000000000006,1.5670000000000006,1.6270000000000007,1.6870000000000007,1.7470000000000008,1.8070000000000008,1.8670000000000009
8,Argentina,ARG,0.122,-0.06,0.165,-0.345,0.092,-0.164,-0.001,0.479,0.297,0.437,-0.265,-0.011,-0.141,-0.132,-0.056,-0.35,0.405,0.332,0.246,0.351,0.354,0.342,0.031,-0.104,0.303,0.446,0.417,-0.234,0.572,0.404,0.226,-0.297,0.039,0.44,0.203,0.457,0.699,0.284,0.098,-0.249,0.357,0.208,0.584,0.404,0.197,0.509,-0.261,0.504,0.751,0.045,0.284,0.736,0.419,0.937,0.931,0.48,1.076,0.86,0.751,1.104,1.009,0.628,0.688,0.748,0.808,0.8680000000000001,0.9280000000000002,0.9880000000000002,1.0480000000000003,1.1080000000000003,1.1680000000000004,1.2280000000000004,1.2880000000000005,1.3480000000000005,1.4080000000000006,1.4680000000000006,1.5280000000000007,1.5880000000000007,1.6480000000000008,1.7080000000000009
9,"Armenia, Rep. of",ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.305,-0.936,0.477,0.694,0.474,0.725,1.349,1.556,1.1,1.469,1.199,0.175,1.142,0.549,1.635,0.744,0.875,0.692,2.772,0.655,1.285,1.355,1.236,1.896,1.331,0.883,2.739,1.864,1.954,2.183,1.845,1.905,1.965,2.025,2.085,2.145,2.205,2.265,2.325,2.3850000000000002,2.4450000000000003,2.5050000000000003,2.5650000000000004,2.6250000000000004,2.6850000000000005,2.7450000000000006,2.8050000000000006,2.8650000000000007,2.9250000000000007
