,iso_code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.069,0.152,0.255,0.39,0.502,0.611,0.728,0.857,1.002,1.1600000000000001,1.344,1.5430000000000001,1.729,1.879,2.062,2.169,2.342,2.558,2.809,3.091,3.41,3.737,3.737,4.147,4.793,5.166,5.598,6.471,7.193,8.127,8.765,9.324,10.043,10.662,11.308,12.017,12.696,13.356,13.948,14.502,15.184000000000001,15.819,16.649,17.578,18.386,19.17,20.039,20.827,21.398,22.617,23.254,23.796,24.365000000000002,24.95,25.508,26.131,26.451,27.251,28.188000000000002,28.368000000000002,28.815,29.427,30.076,30.563000000000002,31.094,31.633,32.282000000000004,32.942,33.649,34.374,35.132,35.938,36.748,39.126,41.533,43.97,46.531,49.147,51.866,54.581,57.402,60.058,62.685,65.191,67.69,69.038,69.899,70.771,71.669,72.552,73.44200000000001,74.31400000000001,75.204,76.094,76.952,77.818
1,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.099,0.191,0.28300000000000003,0.389,0.495,0.649,0.832,1.125,1.455,1.84,2.254,2.745,3.434,4.141,4.9799999999999995,5.987,7.077999999999999,8.36,9.583,10.524,12.193999999999999,14.088,15.617999999999999,17.253,19.166,21.287,23.268,25.652,27.805,30.038,31.794,33.772,35.867,38.387,41.209,44.71,47.844,50.958,53.815,56.58,58.604,60.518,62.0,63.487,64.941,66.358,67.728,69.032,70.31099999999999,71.403,72.45,73.519,74.86,76.42,77.657,79.547,81.706,84.506,88.76,95.152,103.517,115.355,125.39,134.641,143.811,153.602,162.67,172.538,183.356,194.438,206.326,218.609,230.757
2,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187,0.436,0.747,1.022,1.37,1.784,2.286,2.9050000000000002,3.498,4.117,4.666,5.12,6.299,7.449,8.672,9.858,11.41,12.402000000000001,14.072,16.855,20.433,23.838,28.339,33.213,38.079,42.488,45.768,49.296,54.696,60.185,65.519,70.786,75.42099999999999,80.522,85.508,90.184,94.818,100.604,105.653,110.576,115.666,120.73,125.894,131.642,142.995,155.612,170.861,186.745,203.258,220.519,236.514,252.422,268.502,285.986,303.002,318.389,335.534,353.122,371.872,392.54,415.523,438.92,464.861,490.571,515.3389999999999,541.369,565.362,587.979,609.413,628.635,645.4,662.906,678.976
3,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.096,0.14400000000000002,0.199,0.254,0.313,0.375,0.437,0.503,0.569,0.646,0.73,0.8140000000000001,0.902,1.005,1.115,1.236,1.361,1.486,1.611,1.7429999999999999,1.8679999999999999,1.9889999999999999,2.106,2.227,2.366,2.505,2.633,2.765,2.912,3.055,3.193,3.332
4,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.014,0.032,0.16,0.45699999999999996,0.8049999999999999,1.237,1.9289999999999998,2.5549999999999997,3.299,3.761,3.915,4.036,4.52,5.447,6.15,7.165,7.462,7.865,8.238999999999999,8.653,9.155,9.818,10.657,12.163,13.364,14.807,16.829,19.108,21.57,23.651,25.666,27.838,30.387999999999998,33.065,36.134,39.375,43.114,47.462,53.1,58.385999999999996,62.728,67.319,72.266,77.983,84.474,92.05799999999999,97.229,104.569,111.877,119.508,127.334,135.216,143.274,150.721,158.05,167.036,172.557,176.847,179.364,181.702,183.626,185.715,187.733,189.276,191.031,194.017,197.042,200.263,204.011,208.314,212.49099999999999,216.752,220.663,224.612,229.009,233.416,238.2,243.515,248.365,253.652,259.652,264.364,268.996,274.289,279.18399999999997,284.011,289.03,293.93399999999997,298.889
5,AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.814,1.2209999999999999,1.6309999999999998,2.038,2.463,2.917,3.3819999999999997,3.8729999999999998,4.386,4.91,5.434,5.965,6.5,7.061,7.636,8.182,8.721,9.26,9.777000000000001,10.294,10.785,11.272,11.748,12.21,12.675,13.144,13.609,14.104000000000001,14.588000000000001,14.962,15.325,15.694
6,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.022,0.033,0.051,0.073,0.091,0.11299999999999999,0.13899999999999998,1.055,2.2969999999999997,22.804000000000002,38.039,59.206,82.641,113.24600000000001,144.548,175.59300000000002,215.21,253.961,298.715,335.26099999999997,372.084,408.851,445.604,480.824,526.98,576.633,623.663,671.113,719.209,773.395,825.099,881.772,939.529,1005.095,1080.106,1152.57,1227.982,1300.902,1381.008,1458.324,1570.137,1671.555,1756.204,1862.647,1974.35,2088.749,2210.454,2343.579,2497.263,2665.276,2850.118,3047.691,3255.083,3468.418,3678.401,3904.085,4130.69,4343.18,4552.459,4772.016,4988.784,5226.033,5469.928
7,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085,1.975,3.73,5.1,6.038,7.423,8.977,10.97,13.234,15.539,17.62,19.969,22.889,24.959,27.451,30.265,33.127,36.923,40.906,47.16,53.414,61.031,66.967,75.874,85.818,95.297,105.443,114.116,121.056,126.043,128.274,130.795,134.521,140.413,145.953,153.252,161.698,172.657,183.894,195.153,208.527,221.266,234.39600000000002,247.163,260.007,273.107,286.339,300.579,314.576,329.672,346.383,362.73,380.10699999999997,395.971,409.911,423.39,437.467,451.419,465.085,478.787,493.302,510.694,526.059,555.98,590.943,627.038,662.173,698.923,738.483,782.78,830.388,874.581,923.53,972.294,1023.421,1077.061,1127.094,1182.764,1241.569,1304.642,1370.118,1439.127,1516.376,1599.024,1687.871,1777.9379999999999,1871.914,1967.394,2062.239,2161.938,2262.644,2365.2,2475.816,2584.4719999999998,2686.441,2789.792,2894.934,3001.386,3101.917,3206.067,3320.944,3442.349,3559.369,3671.448,3788.954,3910.185,4027.962,4146.431,4271.671,4402.806,4539.33,4678.335,4826.009,4968.774,5103.196,5227.651,5361.6449999999995,5518.357,5679.546,5853.756,6027.238,6214.481,6392.592,6578.446,6768.122,6959.414,7148.952,7337.349,7529.093,7719.013,7905.912,8086.5109999999995,8265.023,8431.903,8621.646999999999,8814.511
8,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.001,,,0.002,0.003,0.004,0.006,0.008,0.01,0.012,0.014,0.02,0.027,0.033,0.041,0.05,0.062,0.074,0.085,0.098,0.114,0.133,0.153,0.179,0.205,0.236,0.269,0.303,0.342,0.382,0.425,0.469,0.516,0.565,0.618,0.678,0.744,0.8140000000000001,0.896,0.979,1.075,1.172,1.285,1.411,1.558,1.724,1.8940000000000001,2.059,2.22,2.399,2.559,2.741,2.945,3.151,3.368,3.581,3.802,4.052,4.324,4.569,4.7940000000000005,5.034,5.255,5.343,5.418,5.487,5.561,5.652,5.752,5.871,5.989,6.16,6.372,6.605,6.856,7.199,7.611,8.074,8.593,9.22,9.928,10.739,11.569,12.445,13.332,14.396,15.33,15.843,16.378,17.154,17.972,18.889,19.991,21.162,22.492,23.972,25.575,27.291,29.106,31.086000000000002,33.331,35.795,38.492,41.373,44.402,47.556,50.812,54.235,57.91,61.823,65.976,70.363,74.956,79.68299999999999,84.61,89.791,95.29899999999999,101.101,107.157,113.452,120.077,126.959,134.078,141.446,148.875,156.595,164.181,171.911,179.757,187.677,196.211,204.275,212.465,221.755,231.21699999999998,240.165,247.47299999999998,253.197,255.707,258.392,261.755,264.255,267.508,270.927,273.967,277.45799999999997,280.991,284.068,287.524,291.215,295.591,299.993,305.093,310.668,315.031,319.284,324.253,330.001,335.536,341.14,346.609,351.812,357.352,363.178,369.462,376.261,383.325,389.733
9,ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.011,0.018000000000000002,0.028999999999999998,0.044,0.059,0.074,0.089,0.093,0.097,0.10099999999999999,0.105,0.109,0.113,0.11699999999999999,0.121,0.125,0.132,0.139,0.146,0.157,,,,,,,,,,,,,,,
